case_id,val_fold,kidney_single,tumor_single,composite_single,kidney_ens4,tumor_ens4,composite_ens4
kidney_001,2,0.96146986230649,0.7018604651162791,0.8214728752391754,0.9625679103807471,0.8975729431350215,0.9295025079513097
kidney_002,4,0.8814360808896328,0.5339596040089496,0.6860402763038251,0.9565871272943804,0.9617467437712803,0.9591634661562614
kidney_003,1,0.9485313449788089,0.46389185343294204,0.6633369910245176,0.9593488315912891,0.8680445151033387,0.9125554730171833
kidney_004,2,0.9572355227597734,0.0,0.0,0.9573886450163314,0.7758336084516342,0.8618435398340241
kidney_005,0,0.9469179917564405,0.9310683012259194,0.9389597041326792,0.9500414891851524,0.9614392441957854,0.9557233759392993
kidney_006,2,0.9544764346547772,0.7900885955313967,0.868401373631,0.9572911231248223,0.9041095890410958,0.9303204200279989
kidney_007,0,0.9358035033946015,0.3629943502824859,0.582830493974704,0.94096038234041,0.6666666666666666,0.7920270964810947
kidney_008,3,0.04071387413271871,0.0,0.0,0.9392679010060483,0.9142690654818267,0.9266841889715594
kidney_009,1,0.960535353893,0.7474237644584648,0.8473057005013892,0.9635198355823575,0.8824717285945073,0.9221057503570068
kidney_010,3,0.9543498948846264,0.8791900240247111,0.9159994033904144,0.9577121225007555,0.9414485049833887,0.9495454943986645
kidney_011,3,0.9530428751994674,0.8419097617750483,0.8957544864641152,0.9530509389812204,0.9289847920685479,0.9409409271469721
kidney_012,3,0.9514270234316327,0.8028816036750888,0.8740041500774499,0.9501691551617717,0.9161882893226176,0.9330240365793265
kidney_013,1,0.8182226969531734,0.013422393871284308,0.10479745852323896,0.9634452611503118,0.9694680583568284,0.9664519681083381
kidney_014,3,0.9538132179537017,0.8671712331030836,0.9094610405965347,0.9555379621034055,0.9427273270759849,0.9491110308775139
kidney_015,4,0.9557032371403474,0.0,0.0,0.9583590755321224,0.2595001711742554,0.4986926349435962
kidney_016,2,0.9338194764842541,0.516892471274224,0.6947548178486769,0.9392291083017397,0.9443659551720188,0.9417940294919775
kidney_017,3,0.8627964128257127,0.6310783862555607,0.737897125535218,0.913976880348296,0.9178709055876686,0.915921823547994
kidney_018,3,0.942687084700891,0.8382240645794699,0.8889223811810297,0.9419854648703027,0.856868211092954,0.8984193899059508
kidney_019,3,0.6820989126394972,0.06510445849675818,0.21073129892975562,0.9723579876127837,0.9796048471369315,0.9759746911768744
kidney_020,1,0.9076554064590867,0.5637297579662197,0.7153127725686937,0.9470190659298898,0.9438223571835263,0.9454193604447129
kidney_021,0,0.950666773690415,0.5288436210378435,0.7090515206942322,0.9553852618855381,0.9469806763285025,0.9511736862711512
kidney_022,0,0.935003970060099,0.9246787610779854,0.9298270337208798,0.9380437840252842,0.9556984384936056,0.9468299634208864
kidney_023,1,0.9326286785938547,0.8858072111259653,0.9089165026564964,0.9416522421652866,0.9163998302534624,0.9289402321344796
kidney_024,3,0.9568623428575092,0.8537317700886474,0.9038272963895877,0.957493445652641,0.9510892435179491,0.9542859722846002
kidney_025,1,0.9594875160016781,0.8665609268326322,0.9118412093949002,0.9604718978633993,0.9504876685096602,0.9554667418959337
kidney_026,0,0.9500065016687617,0.721824686940966,0.828093077895798,0.9520667413685938,0.869112426035503,0.9096444554542035
kidney_027,0,0.954673169697291,0.8584900825175542,0.9053051685651211,0.956771140976379,0.9295387219636055,0.9430566385932735
kidney_028,3,0.9548777745099736,0.941579634464752,0.9482053922445374,0.9546017647200914,0.9385485758876316,0.9465411384709392
kidney_029,2,0.9589667361293855,0.49877600979192166,0.6915993075255336,0.9591890658403593,0.8770053475935828,0.9171771585115323
kidney_030,4,0.9589238954625653,0.550531914893617,0.726579801815501,0.9599790975700925,0.9014904517931999,0.9302752229208789
kidney_031,0,0.9468776432240629,0.0,0.0,0.9472283213744196,0.0,0.0
kidney_032,2,0.9306289487926348,0.8007246376811594,0.8632366580709955,0.9435578892488735,0.9217464669900864,0.9325884144764894
kidney_033,0,0.9464720860827424,0.9252897639994414,0.93582099418829,0.9470992093002516,0.9399844115354637,0.9435351042329055
kidney_034,2,0.9502886329550921,0.2938634399308557,0.528445916444979,0.9493021313927248,0.8249206807037784,0.8849287883338603
kidney_035,4,0.9540139654941914,0.9631285174977419,0.9585604082469515,0.9548088064889919,0.9773436771969062,0.9660105330450288
kidney_036,1,0.9385072750635507,0.758298755186722,0.8436047050688924,0.9464721185616609,0.9095315024232633,0.9278179821479623
kidney_037,4,0.9448139604646593,0.7204062202475404,0.8250150629506435,0.9468561443978688,0.9177018633540373,0.9321650326214471
kidney_038,4,0.9286670616860604,0.8006843800322061,0.8623045926715419,0.9458332917095392,0.9310061140923284,0.9383904184792456
kidney_039,3,0.9478808643848722,0.5710329974617337,0.735711391257681,0.9480765382306306,0.6426263992186914,0.7805504544530559
kidney_040,0,0.9537387238978081,0.9317177009988538,0.9426639121042273,0.9552522867446628,0.9302013422818792,0.9426436014463366
kidney_041,2,0.8893962153837198,0.0,0.0,0.9504475669153215,0.9478833750620161,0.9491646050855334
kidney_042,4,0.9589733261772934,0.4912778904665314,0.6863835609176939,0.9595746522828866,0.6433888691953208,0.7857351019528016
kidney_043,1,0.9548308198751315,0.41676234213547647,0.6308228981531164,0.960742858239165,0.9070796460176991,0.9335257317104946
kidney_044,0,0.9543960977999102,0.9092654824771963,0.9315575281969379,0.9570726177251322,0.9394482264421354,0.9482194752789078
kidney_045,0,0.9548348887425647,0.5942450695118009,0.7532635161967677,0.9557377019180269,0.8738064516129033,0.9138543483431382
kidney_046,1,0.961783430367872,0.8618353163502542,0.9104388650379155,0.9644951266551898,0.9423745173745174,0.9533706674173265
kidney_047,0,0.9538306491356029,0.0,0.0,0.9540294227407539,0.9225772713511133,0.9381715523404248
kidney_048,1,0.9269687545657573,0.9134305285322103,0.9201747439567359,0.9492609975114257,0.9489787480360539,0.9491198622818133
kidney_049,2,0.9636570779315008,0.9321744670200905,0.9477850616099278,0.964575854999391,0.9468175204673283,0.9556554396502834
kidney_050,4,0.9584802861569546,0.8141059720007089,0.8833484731437108,0.9614790435249866,0.9043144918821407,0.9324588101898255
kidney_051,1,0.9539713796525858,0.9268900448457019,0.9403332254406952,0.9624559669668983,0.9655510873784986,0.9640022849863028
kidney_052,1,0.9474410382442978,0.8412200493893078,0.8927521475669075,0.9505386093301383,0.936989286362811,0.9437396321107561
kidney_053,0,0.9372036385517531,0.3872270996814544,0.60242065599322,0.9424607192284585,0.9551392891450529,0.9487788263926452
kidney_054,2,0.9549507907030016,0.6858168761220825,0.8092721224225169,0.9565119515389653,0.949806028051328,0.9531530923596948
kidney_055,1,0.9568590742238953,0.9281265501846442,0.9423833145659447,0.9583337245092977,0.9482156331218735,0.9532612544982759
kidney_056,2,0.9619262386178622,0.9296127067014796,0.9456314579838829,0.962408318738723,0.9546539985773803,0.9585233172688371
kidney_057,3,0.9606728250772476,0.7864209350566459,0.8691911305235223,0.9604344287258693,0.9502556635400088,0.9553314897749211
kidney_058,2,0.7332708383732495,0.2376297945870996,0.4174290343272082,0.9558495756975761,0.9708113951078128,0.963301437814859
kidney_059,4,0.9590021185966774,0.8085844352915673,0.8805874099196008,0.9605474175981749,0.9339131580681294,0.947136670308619
kidney_060,4,0.9438881105607091,0.9334070796460177,0.9386329659622386,0.9526546906187625,0.9676570487926457,0.9601265679287406
kidney_061,4,0.9636339908716351,0.9354222791829048,0.9494233534305249,0.9672257891021547,0.9593508190131645,0.9632802566988522
kidney_062,4,0.9615143649870223,0.9361513285627114,0.9487480962904393,0.9631799030883667,0.9535287508936778,0.9583421778664153
